,0
172,https://www.coursera.org/learn/statistical-inferences
173,https://www.coursera.org/learn/ai-for-medical-treatment
174,https://www.coursera.org/learn/intelligent-machining
175,https://www.coursera.org/learn/applied-data-science-capstone
176,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs
177,https://www.coursera.org/learn/jhu-advanced-data-visualization-r
178,https://www.coursera.org/learn/network-path-text-analyses-sas-va
179,https://www.coursera.org/learn/introduction-al-analisis-de-datos
180,https://www.coursera.org/learn/applying-data-analytics-business-in-marketing
181,https://www.coursera.org/learn/inventoryanalytics
182,https://www.coursera.org/learn/open-source-tools-for-data-science
183,https://www.coursera.org/learn/supply-chain-analytics
184,https://www.coursera.org/learn/advanced-computer-vision-with-tensorflow
185,https://www.coursera.org/learn/ai-data-bias
186,https://www.coursera.org/learn/proyecto-final-de-analitica-de-datos
187,https://www.coursera.org/learn/gis-1
188,https://www.coursera.org/learn/introduction-trading-machine-learning-gcp
189,https://www.coursera.org/learn/building-deep-learning-models-with-tensorflow
190,https://www.coursera.org/learn/sas-sql
191,https://www.coursera.org/learn/big-data-visualizacion-datos
192,https://www.coursera.org/learn/python-text-mining
193,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals
194,https://www.coursera.org/learn/cnns-and-rnns
195,https://www.coursera.org/learn/database-design-postgresql
196,https://www.coursera.org/learn/entrepreneurs-blockchain-technology
197,https://www.coursera.org/learn/natural-language-processing-captsone-assignment
198,https://www.coursera.org/learn/data-scientists-tools-ar
199,https://www.coursera.org/learn/dataviz-dashboards
200,https://www.coursera.org/learn/sequence-models-tensorflow-gcp
201,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning
202,https://www.coursera.org/learn/big-data-ai-ethics
203,https://www.coursera.org/learn/excel-intermediate-1-ru
204,https://www.coursera.org/learn/strategic-business-analytics
205,https://www.coursera.org/learn/linear-regression-model
206,https://www.coursera.org/learn/jiegou-fangcheng-moxing
207,https://www.coursera.org/learn/google-machine-learning-br
208,https://www.coursera.org/learn/sas-predictive-modeling-using-logistic-regression
209,https://www.coursera.org/learn/probability-theory-statistics
210,https://www.coursera.org/learn/feature-engineering
211,https://www.coursera.org/learn/herramientas-para-la-ciencia-de-datos
212,https://www.coursera.org/learn/sig-1
213,https://www.coursera.org/learn/advanced-machine-learning-signal-processing
214,https://www.coursera.org/learn/machine-learning-business-professionals
215,https://www.coursera.org/learn/humanidades-digitales
216,https://www.coursera.org/learn/power-sample-size
217,https://www.coursera.org/learn/enjoyable-econometrics
218,https://www.coursera.org/learn/ai-with-ibm-watson
219,https://www.coursera.org/learn/visualizacion-de-datos-y-tableros-con-excel-y-cognos
220,https://www.coursera.org/learn/optimize-machine-learning-model-performance
221,https://www.coursera.org/learn/global-statistics
222,https://www.coursera.org/learn/analisis-de-datos-con-python
223,https://www.coursera.org/learn/process-data
224,https://www.coursera.org/learn/ibm-data-analyst-capstone-project
225,https://www.coursera.org/learn/introduction-clinical-data-science
226,https://www.coursera.org/learn/powerpoint-presentations
227,https://www.coursera.org/learn/r-packages
228,https://www.coursera.org/learn/guided-tour-machine-learning-finance
229,https://www.coursera.org/learn/hipython
230,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-fr
231,https://www.coursera.org/learn/dwrelational
232,https://www.coursera.org/learn/datavisualization
233,https://www.coursera.org/learn/excel-data-analysis
234,https://www.coursera.org/learn/supervised-learning
235,https://www.coursera.org/learn/cluster-analysis-association-mining-and-model-evaluation
236,https://www.coursera.org/learn/excel-power-tools
237,https://www.coursera.org/learn/excel-essentials
238,https://www.coursera.org/learn/predictive-analytics-data-mining
239,https://www.coursera.org/learn/wharton-risk-models
240,https://www.coursera.org/learn/machine-learning-projects-fr
241,https://www.coursera.org/learn/precalculus-relations-functions
242,https://www.coursera.org/learn/what-is-datascience-ar
243,https://www.coursera.org/learn/estadistica-aplicada-fundamentos
244,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r
245,https://www.coursera.org/learn/ntumlone-algorithmicfoundations
246,https://www.coursera.org/learn/python-for-data-visualization-pt
247,https://www.coursera.org/learn/data-visualization-capstone
248,https://www.coursera.org/learn/data-collection-analytics-project
249,https://www.coursera.org/learn/matlab-image-processing
250,https://www.coursera.org/learn/functional-mri-2
251,https://www.coursera.org/learn/uva-darden-market-analytics-ar
252,https://www.coursera.org/learn/data-analysis-with-python
253,https://www.coursera.org/learn/data-analysis-with-python-pt
254,https://www.coursera.org/learn/python-for-data-visualization-ru
255,https://www.coursera.org/learn/discrete-math
256,https://www.coursera.org/learn/wharton-quantitative-modeling
257,https://www.coursera.org/learn/matrix-factorization
258,https://www.coursera.org/learn/machine-learning-trading-finance
259,https://www.coursera.org/learn/end-to-end-ml-tensorflow-gcp
260,https://www.coursera.org/learn/machine-learning-and-big-data
261,https://www.coursera.org/learn/precalculus-mathematical-modelling
262,https://www.coursera.org/learn/data-cleaning
263,https://www.coursera.org/learn/google-machine-learning
264,https://www.coursera.org/learn/python-for-applied-data-science-ai-pt
265,https://www.coursera.org/learn/ethical-frameworks-action
266,https://www.coursera.org/learn/mri-fundamentals
267,https://www.coursera.org/learn/rpa-deployment-maintenance
268,https://www.coursera.org/learn/big-data-procesamiento-analisis
269,https://www.coursera.org/learn/machine-learning-accounting-python
270,https://www.coursera.org/learn/cyber-security-manufacturing
271,https://www.coursera.org/learn/intro-practical-deep-learning
272,https://www.coursera.org/learn/python-machine-learning-for-investment-management
273,https://www.coursera.org/learn/microsoft-power-bi
274,https://www.coursera.org/learn/machine-learning-techniques
275,https://www.coursera.org/learn/getting-started-with-tensor-flow2
276,https://www.coursera.org/learn/ai
277,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health
278,https://www.coursera.org/learn/nursing-informatics-leaders
279,https://www.coursera.org/learn/natural-language-processing-tensorflow
280,https://www.coursera.org/learn/sas-programming-certification-review
281,https://www.coursera.org/learn/machine-learning-design
282,https://www.coursera.org/learn/lineyniye-modeli-s-diskretnimi-prediktorami
283,https://www.coursera.org/learn/analytical-solutions-common-healthcare-problems
284,https://www.coursera.org/learn/fundamentals-machine-learning-in-finance
285,https://www.coursera.org/learn/formal-concept-analysis
286,https://www.coursera.org/learn/accounting-data-analytics-python
287,https://www.coursera.org/learn/introduction-to-relational-databases
288,https://www.coursera.org/learn/ciencia-de-datos-aplicada-cuso-capstone
289,https://www.coursera.org/learn/sql-for-data-science-ar
290,https://www.coursera.org/learn/estadistica-aplicada-negocios
291,https://www.coursera.org/learn/intermediate-programming-capstone
292,https://www.coursera.org/learn/introduccion-al-procesamiento-de-lenguaje-natural
293,https://www.coursera.org/learn/excel-intermediate-1
294,https://www.coursera.org/learn/preparing-sas-programming-certification
295,https://www.coursera.org/learn/machine-learning-with-python-pt
296,https://www.coursera.org/learn/css-capstone
297,https://www.coursera.org/learn/solve-problems-ai-machine-learning
298,https://www.coursera.org/learn/site-analysis-introduction
299,https://www.coursera.org/learn/advanced-methods-reinforcement-learning-finance
300,https://www.coursera.org/learn/tidyverse-importing-data
301,https://www.coursera.org/learn/python-data-processing
302,https://www.coursera.org/learn/ai-for-medical-diagnosis
303,https://www.coursera.org/learn/dataviz-design
304,https://www.coursera.org/learn/praktiki-operativnoy-analitiki-excel
305,https://www.coursera.org/learn/introduction-to-cloud-development-with-html-css-javacript
306,https://www.coursera.org/learn/sig-2
307,https://www.coursera.org/learn/accounting-data-analytics-capstone
308,https://www.coursera.org/learn/introduction-clinical-data
309,https://www.coursera.org/learn/data-results
310,https://www.coursera.org/learn/financial-risk-management-with-r
311,https://www.coursera.org/learn/streaming-analytics-systems-gcp-fr
312,https://www.coursera.org/learn/mathematical-statistics-and-ab-testing
313,https://www.coursera.org/learn/evaluations-ai-applications-healthcare
314,https://www.coursera.org/learn/impacto-datos-masivos
315,https://www.coursera.org/learn/analytics-business-metrics
316,https://www.coursera.org/learn/data-analysis-reporting-sas-va
317,https://www.coursera.org/learn/estrategia-marketing-digital
318,https://www.coursera.org/learn/data-management
319,https://www.coursera.org/learn/conversational-experiences-dialogflow
320,https://www.coursera.org/learn/probability-statistics
321,https://www.coursera.org/learn/missing-data
322,https://www.coursera.org/learn/predictive-modeling-model-fitting-regression-analysis
323,https://www.coursera.org/learn/wharton-capstone-analytics
324,https://www.coursera.org/learn/dna-sequencing
325,https://www.coursera.org/learn/data-science-fundamentals-for-data-analysts
326,https://www.coursera.org/learn/data-analytics-business-capstone
327,https://www.coursera.org/learn/matlab-capstone
328,https://www.coursera.org/learn/gis-capstone
329,https://www.coursera.org/learn/deep-learning-reinforcement-learning
330,https://www.coursera.org/learn/data-scientists-tools
331,https://www.coursera.org/learn/hypothesis-testing-public-health
332,https://www.coursera.org/learn/excel-advanced-ar
333,https://www.coursera.org/learn/practical-rl
334,https://www.coursera.org/learn/python-databases-ru
335,https://www.coursera.org/learn/python-for-applied-data-science-ai-ar
336,https://www.coursera.org/learn/apply-generative-adversarial-networks-gans
337,https://www.coursera.org/learn/causal-effects
338,https://www.coursera.org/learn/r-programming-ar
339,https://www.coursera.org/learn/reproducible-research
340,https://www.coursera.org/learn/data-analysis-capstone
341,https://www.coursera.org/learn/gis-mapping-spatial-analysis-capstone
342,https://www.coursera.org/learn/feature-engineering-matlab
343,https://www.coursera.org/learn/data-what-it-is-what-can-we-do-with-it
344,https://www.coursera.org/learn/julia-programming
345,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning
346,https://www.coursera.org/learn/supervised-learning-regression
347,https://www.coursera.org/learn/text-mining-analytics
348,https://www.coursera.org/learn/regression-models
349,https://www.coursera.org/learn/meaningful-predictive-modeling
350,https://www.coursera.org/learn/recommender-systems-introduction
351,https://www.coursera.org/learn/matrix-methods
352,https://www.coursera.org/learn/bayesian-statistics
353,https://www.coursera.org/learn/gis-data-acquisition-map-design
354,https://www.coursera.org/learn/regression-modeling-sas
355,https://www.coursera.org/learn/basic-statistics
356,https://www.coursera.org/learn/computational-neuroscience
357,https://www.coursera.org/learn/wharton-decision-making-scenarios
358,https://www.coursera.org/learn/ds
359,https://www.coursera.org/learn/data-cleaning-ar
360,https://www.coursera.org/learn/information-visualization-programming-d3js
361,https://www.coursera.org/learn/calculus-through-data-and-modelling-differentiation-rules
362,https://www.coursera.org/learn/image-understanding-tensorflow-gcp
363,https://www.coursera.org/learn/excel-data-visualization
364,https://www.coursera.org/learn/excel-essentials-es
365,https://www.coursera.org/learn/big-data-proyecto
366,https://www.coursera.org/learn/validity-bias-epidemiology
367,https://www.coursera.org/learn/analytics-excel
368,https://www.coursera.org/learn/random-models-nested-split-plot-designs
369,https://www.coursera.org/learn/introduccion-a-la-inteligencia-artificial
370,https://www.coursera.org/learn/linear-regression-business-statistics
371,https://www.coursera.org/learn/mining-medical-data
372,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-gcp-es
373,https://www.coursera.org/learn/recommender-metrics
374,https://www.coursera.org/learn/ethical-data-driven-technology-leader
375,https://www.coursera.org/learn/python-statistics-financial-analysis
376,https://www.coursera.org/learn/social-economic-networks
377,https://www.coursera.org/learn/rpa-development-testing
378,https://www.coursera.org/learn/data-visualization
379,https://www.coursera.org/learn/machine-learning-with-python-ar
380,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos
381,https://www.coursera.org/learn/data-analysis-r
382,https://www.coursera.org/learn/launching-machine-learning-jp
383,https://www.coursera.org/learn/fundamental-machine-learning-healthcare
384,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
385,https://www.coursera.org/learn/importance-of-listening
386,https://www.coursera.org/learn/data-analysis-project-pwc
387,https://www.coursera.org/learn/analytics-data-decisions
388,https://www.coursera.org/learn/what-is-datascience
389,https://www.coursera.org/learn/scala-capstone
390,https://www.coursera.org/learn/attention-models-in-nlp
391,https://www.coursera.org/learn/designexperiments
392,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models
393,https://www.coursera.org/learn/process-mining
394,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-jp
395,https://www.coursera.org/learn/data-science-project
396,https://www.coursera.org/learn/jhu-data-visualization-r
397,https://www.coursera.org/learn/case-studies-business-analytics-accenture
398,https://www.coursera.org/learn/statistics-project
399,https://www.coursera.org/learn/neural-networks-deep-learning-ar
400,https://www.coursera.org/learn/measuring-disease-epidemiology
401,https://www.coursera.org/learn/predictive-analytics
402,https://www.coursera.org/learn/ibm-ai-workflow-machine-learning-model-deployment
403,https://www.coursera.org/learn/ai2
404,https://www.coursera.org/learn/the-fundamental-of-data-driven-investment
405,https://www.coursera.org/learn/cloud-computing-basics
406,https://www.coursera.org/learn/big-data-project
407,https://www.coursera.org/learn/fitting-statistical-models-data-python
408,https://www.coursera.org/learn/data-processing-with-azure
409,https://www.coursera.org/learn/excel-aplicado-negocios-avanzado
410,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-br
411,https://www.coursera.org/learn/statistical-analysis-hypothesis-testing-sas
412,https://www.coursera.org/learn/streaming-analytics-systems-gcp
413,https://www.coursera.org/learn/data-viz-shiny-dashboards
414,https://www.coursera.org/learn/data-analytics-accountancy-1
415,https://www.coursera.org/learn/data-structures
416,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals
417,https://www.coursera.org/learn/dwdesign
418,https://www.coursera.org/learn/the-socio-technical-health-informatics-context
419,https://www.coursera.org/learn/prediction-control-function-approximation
420,https://www.coursera.org/learn/functional-mri
421,https://www.coursera.org/learn/ibm-data-topology
422,https://www.coursera.org/learn/ai-ethics-analysis
423,https://www.coursera.org/learn/data-analyze-visualize
424,https://www.coursera.org/learn/calculus-through-data-and-modelling-integration-applications
425,https://www.coursera.org/learn/art-science-ml-fr
426,https://www.coursera.org/learn/collaborative-filtering
427,https://www.coursera.org/learn/excel-para-negocios
428,https://www.coursera.org/learn/automated-reasoning-sat
429,https://www.coursera.org/learn/ecology
430,https://www.coursera.org/learn/sql-para-ciencia-de-datos
431,https://www.coursera.org/learn/ibm-rapid-prototyping-watson-studio-autoai
432,https://www.coursera.org/learn/ml-foundations
433,https://www.coursera.org/learn/data-patterns
434,https://www.coursera.org/learn/big-data-essentials
435,https://www.coursera.org/learn/data-collection-and-analysis-in-python
436,https://www.coursera.org/learn/mongodb-aggregation-framework
437,https://www.coursera.org/learn/sql-data-science
